════════════════════════════════════════════════════════════════════════════════
  ALIGNMENT LOG  2026-03-17T00:25:12.757Z
════════════════════════════════════════════════════════════════════════════════

── WhisperX words ─────────────────────────────────────────────────────────────
 idx   start      end        word
 86    01:08.405  01:08.565  ょ
 87    01:08.565  01:08.725  う
 88    01:08.725  01:08.865  は
 89    01:08.865  01:08.965  い
 90    01:08.965  01:09.266  つ
 91    01:09.266  01:09.606  も
 92    01:09.606  01:09.966  よ
 93    01:09.966  01:10.307  り
 94    01:10.307  01:11.147  も
 95    01:11.147  01:11.328  か
 96    01:11.328  01:11.508  ぜ
 97    01:11.508  01:11.688  が
 98    01:11.688  01:12.048  き
 99    01:12.048  01:12.389  も
 100   01:12.389  01:12.529  ち
 101   01:12.529  01:12.549  い
 102   01:12.549  01:12.729  い
 103   01:12.729  01:12.949  か
 104   01:12.949  01:13.109  ら
 105   01:13.109  01:13.990  ね
 106   01:13.990  01:14.170  た
 107   01:14.170  01:14.310  の
 108   01:14.310  01:14.531  し
 109   01:14.531  01:14.871  さ
 110   01:14.871  01:15.552  に
 111   01:15.552  01:15.772  き
 112   01:15.772  01:15.952  が
 113   01:15.952  01:16.272  え
 114   01:16.272  01:16.472  て
 115   01:16.472  01:17.213  ね
 116   01:17.213  01:17.373  き
 117   01:17.373  01:17.614  づ
 118   01:17.614  01:17.634  け
 119   01:17.634  01:18.534  な
 120   01:18.534  01:18.815  か
 121   01:18.815  01:18.955  っ
 122   01:18.955  01:18.975  た
 123   01:21.357  01:21.697  き
 124   01:21.697  01:21.737  っ
 125   01:21.737  01:21.878  と
 126   01:21.878  01:22.078  お
 127   01:22.078  01:22.298  ま
 128   01:22.298  01:22.438  え
 129   01:22.438  01:22.598  て
 130   01:22.598  01:22.778  た
 131   01:22.778  01:22.999  の
 132   01:22.999  01:23.339  か
 133   01:23.339  01:24.200  な
 134   01:24.200  01:24.480  だ
 135   01:24.480  01:24.580  か
 136   01:24.580  01:24.780  ら
 137   01:24.780  01:25.260  ち
 138   01:25.260  01:25.481  ん
 139   01:25.481  01:25.641  あ
 140   01:25.641  01:25.781  い
 141   01:25.781  01:25.881  し
 142   01:25.881  01:26.161  て
 143   01:26.161  01:26.481  ひ
 144   01:26.481  01:26.582  と
 145   01:26.582  01:26.842  を
 146   01:26.842  01:27.202  あ
 147   01:27.202  01:27.342  い
 148   01:27.342  01:27.562  し
 149   01:27.562  01:28.803  て
 150   01:28.803  01:28.984  み
 151   01:28.984  01:29.184  た
 152   01:29.184  01:29.344  い
 153   01:29.344  01:29.844  な
 154   01:29.844  01:30.225  ゆ
 155   01:30.225  01:30.585  め
 156   01:30.585  01:31.246  は
 157   01:31.246  01:31.966  い
 158   01:31.966  01:32.346  つ
 159   01:32.346  01:32.707  で
 160   01:32.707  01:33.047  も
 161   01:33.047  01:33.327  ふ
 162   01:33.327  01:33.407  く
 163   01:33.407  01:33.768  ら
 164   01:33.768  01:33.928  む
 165   01:33.928  01:34.088  ば
 166   01:34.088  01:34.508  か
 167   01:34.508  01:34.829  り
 168   01:34.829  01:35.509  で
 169   01:35.509  01:35.870  だ
 170   01:35.870  01:36.230  れ
 171   01:36.230  01:36.930  か
 172   01:36.930  01:37.491  の
 173   01:37.491  01:37.671  お
 174   01:37.671  01:38.212  も
 175   01:38.212  01:38.612  い
 176   01:38.612  01:39.072  を
 177   01:39.072  01:39.352  む
 178   01:39.352  01:39.553  し
 179   01:39.553  01:39.953  し
 180   01:39.953  01:40.293  て
 181   01:40.293  01:41.514  た
 182   01:41.514  01:41.815  き
 183   01:41.815  01:41.855  っ
 184   01:41.855  01:41.875  と
 185   01:42.575  01:42.995  い
 186   01:42.995  01:43.256  つ
 187   01:43.256  01:43.616  か
 188   01:43.616  01:44.296  は
 189   01:44.296  01:44.676  わ
 190   01:44.676  01:44.997  か
 191   01:44.997  01:45.037  っ
 192   01:45.037  01:45.197  て
 193   01:45.197  01:45.397  る
 194   01:45.397  01:45.597  の
 195   01:45.597  01:46.217  か
 196   01:46.217  01:46.798  な
 197   01:46.798  01:47.158  て
 198   01:47.158  01:47.538  ば
 199   01:47.538  01:48.118  な
 200   01:48.118  01:48.218  し
 201   01:48.218  01:48.939  た
 202   01:48.939  01:49.119  ふ
 203   01:49.119  01:49.619  う
 204   01:49.619  01:49.939  せ
 205   01:49.939  01:50.340  ん
 206   01:50.340  01:50.720  と
 207   01:50.720  01:50.900  ん
 208   01:50.900  01:51.260  で
 209   01:51.260  01:51.580  っ
 210   01:51.580  01:51.600  た
 211   01:53.476  01:53.876  さ
 212   01:53.876  01:54.077  ば
 213   01:54.077  01:54.337  よ
 214   01:54.337  01:54.417  ん
 215   01:54.417  01:54.777  で
 216   01:54.777  01:55.117  み
 217   01:55.117  01:55.458  た
 218   01:55.458  01:55.678  っ
 219   01:55.678  01:56.318  て
 220   01:56.318  01:56.518  あ
 221   01:56.518  01:56.678  の
 222   01:56.678  01:56.879  こ
 223   01:56.879  01:57.059  ろ
 224   01:57.059  01:57.199  に
 225   01:57.199  01:57.379  も
 226   01:57.379  01:57.579  ど
 227   01:57.579  01:57.719  れ
 228   01:57.719  01:57.859  や
 229   01:57.859  01:57.939  し
 230   01:57.939  01:58.100  な
 231   01:58.100  01:58.240  い
 232   01:58.240  01:59.120  し
 233   01:59.120  01:59.320  だ
 234   01:59.320  01:59.501  か
 235   01:59.501  01:59.681  ら
 236   01:59.681  02:00.041  い
 237   02:00.041  02:00.541  ま
 238   02:00.541  02:00.742  を
 239   02:00.742  02:00.922  み
 240   02:00.922  02:01.122  と
 241   02:01.122  02:01.302  め
 242   02:01.302  02:01.462  て
 243   02:01.462  02:01.622  い
 244   02:01.622  02:02.163  た
 245   02:02.163  02:02.323  い
 246   02:02.323  02:04.805  の
 247   02:04.805  02:04.985  と
 248   02:04.985  02:05.165  て
 249   02:05.165  02:05.345  も
 250   02:05.345  02:05.685  た
 251   02:05.685  02:05.745  い
 252   02:05.745  02:05.825  せ
 253   02:05.825  02:06.045  つ
 254   02:06.045  02:06.166  な
 255   02:06.166  02:06.366  こ
 256   02:06.366  02:06.766  と
 257   02:06.766  02:07.627  も
 258   02:07.627  02:07.827  み
 259   02:07.827  02:08.007  す
 260   02:08.007  02:08.227  ご
 261   02:08.227  02:08.347  し
 262   02:08.347  02:08.387  ち
 263   02:08.387  02:08.647  ゃ
 264   02:08.647  02:08.667  っ
 265   02:08.667  02:08.868  た
 266   02:08.868  02:09.068  と
 267   02:09.068  02:09.208  し
 268   02:09.208  02:09.568  て
 269   02:09.568  02:10.449  も
 270   02:10.449  02:10.629  ま
 271   02:10.629  02:10.789  た
 272   02:10.789  02:11.009  み
 273   02:11.009  02:11.329  つ
 274   02:11.329  02:12.030  け
 275   02:12.030  02:12.230  れ
 276   02:12.230  02:12.810  ば
 277   02:12.810  02:14.091  い
 278   02:14.091  02:14.111  い
 279   02:15.032  02:15.392  い
 280   02:15.392  02:15.732  つ
 281   02:15.732  02:16.172  も
 282   02:16.172  02:16.393  い
 283   02:16.393  02:16.453  っ
 284   02:16.453  02:16.653  て
 285   02:16.653  02:16.993  た
 286   02:16.993  02:17.833  ね
 287   02:17.833  02:18.093  ま
 288   02:18.093  02:18.213  ぁ
 289   02:18.213  02:18.393  ど
 290   02:18.393  02:18.573  う
 291   02:18.573  02:18.953  に
 292   02:18.953  02:19.113  か
 293   02:19.113  02:19.294  な
 294   02:19.294  02:19.574  る
 295   02:19.574  02:19.814  っ
 296   02:19.814  02:20.674  て
 297   02:20.674  02:20.934  だ
 298   02:20.934  02:21.034  け
 299   02:21.034  02:21.254  ど
 300   02:21.254  02:21.374  ち
 301   02:21.374  02:21.754  か
 302   02:21.754  02:21.914  ら
 303   02:21.914  02:22.095  ま
 304   02:22.095  02:22.255  か
 305   02:22.255  02:22.615  せ
 306   02:22.615  02:22.675  じ
 307   02:22.675  02:22.955  ゃ
 308   02:22.955  02:23.095  ど
 309   02:23.095  02:23.215  う
 310   02:23.215  02:23.315  に
 311   02:23.315  02:23.655  も
 312   02:23.655  02:23.835  な
 313   02:23.835  02:24.015  ら
 314   02:24.015  02:24.936  な
 315   02:24.936  02:25.056  い
 316   02:25.056  02:25.256  こ
 317   02:25.256  02:25.456  と
 318   02:25.456  02:25.616  も
 319   02:25.616  02:25.836  あ
 320   02:25.836  02:26.336  る
 321   02:26.336  02:26.716  あ
 322   02:26.716  02:27.056  い
 323   02:27.056  02:27.717  は
 324   02:27.717  02:28.437  ど
 325   02:28.437  02:28.837  こ
 326   02:28.837  02:29.037  か
 327   02:29.037  02:29.177  ら
 328   02:29.177  02:29.517  や
 329   02:29.517  02:29.877  っ
 330   02:29.877  02:30.217  て
 331   02:30.217  02:30.377  く
 332   02:30.377  02:30.578  る
 333   02:30.578  02:30.778  の
 334   02:30.778  02:31.078  で
 335   02:31.078  02:31.158  し
 336   02:31.158  02:31.458  ょ
 337   02:31.458  02:31.798  う
 338   02:31.798  02:31.978  じ
 339   02:31.978  02:32.358  ぶ
 340   02:32.358  02:32.698  ん
 341   02:32.698  02:33.399  の
 342   02:33.399  02:34.099  む
 343   02:34.099  02:34.779  れ
 344   02:34.779  02:35.499  に
 345   02:35.499  02:35.859  と
 346   02:35.859  02:36.039  い
 347   02:36.039  02:36.400  た
 348   02:36.400  02:36.760  げ
 349   02:36.760  02:36.780  た
 350   02:37.620  02:37.960  す
 351   02:37.960  02:38.321  こ
 352   02:38.321  02:38.881  し
 353   02:38.881  02:39.041  ず
 354   02:39.041  02:39.281  つ
 355   02:39.281  02:39.301  だ
 356   02:39.301  02:39.321  け
 357   02:39.321  02:39.361  ど
 358   02:39.361  02:39.502  い
 359   02:39.502  02:39.642  ろ
 360   02:39.642  02:39.742  ん
 361   02:39.742  02:39.962  な
 362   02:39.962  02:40.002  こ
 363   02:40.002  02:40.122  と
 364   02:40.122  02:40.242  が
 365   02:40.242  02:40.442  か
 366   02:40.442  02:40.522  わ
 367   02:40.522  02:40.803  っ
 368   02:40.803  02:41.043  て
 369   02:41.043  02:41.183  わ
 370   02:41.183  02:41.443  た
 371   02:41.443  02:41.463  し
 372   02:41.463  02:41.543  は
 373   02:41.543  02:41.563  こ
 374   02:41.563  02:41.583  こ
 375   02:41.583  02:41.603  に
 376   02:41.603  02:41.683  あ
 377   02:41.683  02:41.703  る
 378   03:01.280  03:01.560  こ
 379   03:01.560  03:01.620  ん
 380   03:01.620  03:01.840  な
 381   03:01.840  03:01.980  は
 382   03:01.980  03:02.181  ず
 383   03:02.181  03:02.301  じ
 384   03:02.301  03:02.581  ゃ
 385   03:02.581  03:02.901  な
 386   03:02.901  03:03.021  か
 387   03:03.021  03:03.261  っ
 388   03:03.261  03:04.102  た
 389   03:04.102  03:04.402  と
 390   03:04.402  03:04.482  ん
 391   03:04.482  03:04.842  だ
 392   03:04.842  03:05.022  お
 393   03:05.022  03:05.323  と
 394   03:05.323  03:05.403  ぎ
 395   03:05.403  03:05.743  は
 396   03:05.743  03:06.043  な
 397   03:06.043  03:06.924  し
 398   03:06.924  03:07.104  な
 399   03:07.104  03:07.284  ぞ
 400   03:07.284  03:07.444  な
 401   03:07.444  03:07.664  ぞ
 402   03:07.664  03:07.844  み
 403   03:07.844  03:08.265  た
 404   03:08.265  03:08.345  い
 405   03:08.345  03:08.665  な
 406   03:08.665  03:08.745  あ
 407   03:08.745  03:08.805  い
 408   03:08.805  03:08.885  す
 409   03:08.885  03:09.085  こ
 410   03:09.085  03:09.225  と
 411   03:09.225  03:09.425  の
 412   03:09.425  03:09.966  い
 413   03:09.966  03:10.146  み
 414   03:10.146  03:11.006  は
 415   03:11.006  03:12.567  う
 416   03:12.567  03:12.928  ん
 417   03:12.928  03:13.188  め
 418   03:13.188  03:13.288  い
 419   03:13.288  03:13.468  だ
 420   03:13.468  03:13.848  け
 421   03:13.848  03:13.888  じ
 422   03:13.888  03:14.208  ゃ
 423   03:14.208  03:14.469  な
 424   03:14.469  03:14.549  く
 425   03:14.549  03:15.409  て
 426   03:15.409  03:15.609  セ
 427   03:15.609  03:15.729  ン
 428   03:15.729  03:15.930  チ
 429   03:15.930  03:16.150  メ
 430   03:16.150  03:16.290  ン
 431   03:16.290  03:16.630  タ
 432   03:16.630  03:16.870  で
 433   03:16.870  03:16.990  も
 434   03:16.990  03:17.250  な
 435   03:17.250  03:17.371  く
 436   03:17.371  03:18.191  て
 437   03:18.191  03:18.411  つ
 438   03:18.411  03:18.591  よ
 439   03:18.591  03:18.811  く
 440   03:18.811  03:18.972  み
 441   03:18.972  03:19.132  え
 442   03:19.132  03:19.692  な
 443   03:19.692  03:19.812  い
 444   03:19.812  03:20.012  も
 445   03:20.012  03:20.513  の
 446   03:20.513  03:20.733  か
 447   03:20.733  03:20.753  な
 448   03:22.794  03:23.174  あ
 449   03:23.174  03:23.534  い
 450   03:23.534  03:24.894  は
 451   03:24.894  03:25.115  ど
 452   03:25.115  03:25.275  こ
 453   03:25.275  03:25.635  か
 454   03:25.635  03:25.975  ら
 455   03:25.975  03:26.295  や
 456   03:26.295  03:26.335  っ
 457   03:26.335  03:26.495  て
 458   03:26.495  03:26.515  く
 459   03:26.515  03:26.675  る
 460   03:26.675  03:26.695  の
 461   03:26.695  03:26.715  で
 462   03:26.715  03:26.735  し
 463   03:26.735  03:26.755  ょ
 464   03:26.755  03:26.775  う
 465   03:26.775  03:26.875  じ
 466   03:26.875  03:26.915  ぶ
 467   03:26.915  03:26.935  ん
 468   03:26.935  03:26.955  の
 469   03:26.955  03:26.995  む
 470   03:26.995  03:27.035  ね
 471   03:27.035  03:27.235  に
 472   03:27.235  03:27.395  と
 473   03:27.395  03:27.555  い
 474   03:27.555  03:27.635  か
 475   03:27.635  03:27.655  け
 476   03:27.655  03:27.675  た
 477   03:27.675  03:27.775  た
 478   03:27.775  03:27.795  べ
 479   03:27.795  03:27.815  て
 480   03:27.815  03:27.915  み
 481   03:27.915  03:28.075  な
 482   03:28.075  03:28.235  く
 483   03:28.235  03:28.415  ち
 484   03:28.415  03:28.615  ゃ
 485   03:28.615  03:28.655  わ
 486   03:28.655  03:28.675  か
 487   03:28.675  03:28.695  ら
 488   03:28.695  03:28.815  な
 489   03:28.815  03:29.155  い
 490   03:29.155  03:29.555  こ
 491   03:29.555  03:29.575  と
 492   03:29.575  03:29.695  で
 493   03:29.695  03:29.856  あ
 494   03:29.856  03:30.056  い
 495   03:30.056  03:30.436  の
 496   03:30.436  03:30.576  い
 497   03:30.576  03:31.256  ん
 498   03:31.256  03:31.536  り
 499   03:31.536  03:31.716  ょ
 500   03:31.716  03:31.776  く
 501   03:31.776  03:31.976  は
 502   03:31.976  03:32.136  ど
 503   03:32.136  03:32.156  れ
 504   03:32.156  03:32.336  ほ
 505   03:32.336  03:32.496  ど
 506   03:32.496  03:32.656  か
 507   03:32.656  03:32.736  あ
 508   03:32.736  03:32.876  い
 509   03:32.876  03:32.896  は
 510   03:46.579  03:46.779  あ
 511   03:46.779  03:47.299  い
 512   03:47.299  03:47.499  は
 513   03:47.499  03:47.719  ど
 514   03:47.719  03:47.859  こ
 515   03:47.859  03:48.220  か
 516   03:48.220  03:48.580  ら
 517   03:48.580  03:48.640  や
 518   03:48.640  03:48.940  っ
 519   03:48.940  03:49.260  て
 520   03:49.260  03:49.460  く
 521   03:49.460  03:49.640  る
 522   03:49.640  03:49.840  の
 523   03:49.840  03:50.140  で
 524   03:50.140  03:50.480  し
 525   03:50.480  03:50.640  ょ
 526   03:50.640  03:50.860  う
 527   03:50.860  03:51.020  じ
 528   03:51.020  03:51.421  ぶ
 529   03:51.421  03:51.761  ん
 530   03:51.761  03:52.441  の
 531   03:52.441  03:53.181  む
 532   03:53.181  03:53.861  れ
 533   03:53.861  03:54.582  に
 534   03:54.582  03:54.922  と
 535   03:54.922  03:55.102  い
 536   03:55.102  03:55.442  か
 537   03:55.442  03:55.802  け
 538   03:55.802  03:56.662  た
 539   03:56.662  03:57.042  に
 540   03:57.042  03:57.382  せ
 541   03:57.382  03:58.083  も
 542   03:58.083  03:58.803  の
 543   03:58.803  03:58.963  な
 544   03:58.963  03:59.203  ん
 545   03:59.203  03:59.863  か
 546   03:59.863  03:59.923  ち
 547   03:59.923  04:00.083  ょ
 548   04:00.083  04:00.223  う
 549   04:00.223  04:00.564  み
 550   04:00.564  04:00.924  は
 551   04:00.924  04:01.144  な
 552   04:01.144  04:01.464  い
 553   04:01.464  04:01.864  わ
 554   04:01.864  04:02.304  ほ
 555   04:02.304  04:03.024  ん
 556   04:03.024  04:03.484  も
 557   04:03.484  04:04.465  の
 558   04:04.465  04:05.145  だ
 559   04:05.145  04:05.865  け
 560   04:05.865  04:06.185  み
 561   04:06.185  04:06.385  つ
 562   04:06.385  04:06.766  け
 563   04:06.766  04:07.126  た
 564   04:07.126  04:07.986  い
 565   04:07.986  04:08.366  あ
 566   04:08.366  04:09.626  な
 567   04:09.626  04:09.947  た
 568   04:09.947  04:10.127  を
 569   04:10.127  04:10.787  ず
 570   04:10.787  04:10.807  っ
 571   04:10.807  04:11.527  と
 572   04:11.527  04:11.867  さ
 573   04:11.867  04:12.007  が
 574   04:12.007  04:12.427  し
 575   04:12.427  04:12.767  て
 576   04:12.767  04:12.787  た

── Line mapping ───────────────────────────────────────────────────────────────
 #    wi_s   wi_e   start      end        startWord→endWord    kana → lyric
 ──────────────────────────────────────────────────────────────────────────────
 1    0      16     00:22.090  00:27.552  「あ」→「う」               あいはどこからやってくるのでしょう  →  愛はどこからやってくるのでしょう
 2    17     28     00:27.552  00:33.375  「じ」→「た」               じぶんのむねにといかけた  →  自分の胸に問いかけた
 3    29     43     00:33.375  00:39.758  「に」→「ん」               にせものなんかきょうみはないの  →  ニセモノなんか興味はないの
 4    44     54     00:39.758  00:57.575  「と」→「な」               ほんとだけをみつめたい  →  ホントだけを見つめたい
 5    55     72     00:57.575  01:03.020  「し」→「さ」               かなしいNEWSとどうでもいいはなし  →  悲しいNEWSとどうでもいい話
 6    73     87     01:03.020  01:08.725  「か」→「う」               あさからもうそんなのうんざりで  →  朝からもうそんなのうんざりで
 7    88     108    01:08.725  01:14.531  「は」→「し」               きょうはいつもよりもかぜがきもちいいからね  →  今日はいつもよりも風が気持ちイイからネ
 8    109    118    01:14.531  01:17.634  「さ」→「け」               たのしさにきがえてね  →  楽しさに着替えてネ
 9    119    136    01:17.634  01:24.780  「な」→「ら」               きづけなかったきっとあまえてたのかな  →  気づけなかった きっと甘えてたのかな
 10   137    157    01:24.780  01:31.966  「ち」→「い」               だからじぶんあいしてひとをあいしてみたいの  →  だから自分愛して 人を愛してみたいの
 11   158    185    01:31.966  01:42.995  「つ」→「い」               ゆめはいつでもふくらむばかりでだれかのおもいをむししてた  →  夢はいつでも膨らむばかりで 誰かの思いを無視してた
 12   186    214    01:42.995  01:54.417  「つ」→「ん」               きっといつかはわかってるのかなてばなしたふうせんとんでった  →  きっといつかはわかってるのかナ 手放した風船飛んでった
 13   215    236    01:54.417  02:00.041  「で」→「い」               さばよんでみたってあのころにもどれやしないし  →  サバよんでみたってあの頃に戻れやしないし
 14   237    250    02:00.041  02:05.685  「ま」→「た」               だからいまをみとめていたいの  →  だから今を認めていたいの
 15   251    273    02:05.685  02:11.329  「い」→「つ」               とてもたいせつなこともみすごしちゃったとしても  →  とても大切な事も見過ごしちゃったとしても
 16   274    282    02:11.329  02:16.393  「け」→「い」               またみつければいい  →  また見つければイイ
 17   283    299    02:16.393  02:21.254  「っ」→「ど」               あいはどこからやってくるのでしょう  →  愛はどこからやってくるのでしょう
 18   300    317    02:21.254  02:25.456  「ち」→「と」               いつもいってたねまぁどうにかなるって  →  いつも言ってたネ "まァ、どうにかなるって"
 19   318    341    02:25.456  02:33.399  「も」→「の」               だけどちからまかせじゃどうにもならないこともある  →  だけど力まかせじゃ どうにもならない事もアル
 20   342    360    02:33.399  02:39.742  「む」→「ん」               すこしずつだけどいろんなことがかわって  →  少しずつだけどいろんな事が変わって
 21   361    369    02:39.742  02:41.183  「な」→「わ」               わたしはここにある  →  私はここにアル
 22   370    380    02:41.183  03:01.840  「た」→「な」               こんなはずじゃなかった  →  こんなハズじゃなかった
 23   381    397    03:01.840  03:06.924  「は」→「し」               あいはどこからやってくるのでしょう  →  愛はどこからやってくるのでしょう
 24   398    406    03:06.924  03:08.745  「な」→「あ」               とんだおとぎはなし  →  とんだオトギ話
 25   407    423    03:08.745  03:14.469  「い」→「な」               あいはどこからやってくるのでしょう  →  愛はどこからやってくるのでしょう
 26   424    431    03:14.469  03:16.630  「く」→「タ」               なぞなぞみたいな  →  なぞなぞみたいな
 27   432    440    03:16.630  03:18.972  「で」→「み」               あいすことのいみは  →  愛す事の意味は
